City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,port alfred,-33.5906,26.891,17.88,91,55,0.45,ZA,1730667461
284,nuevitas,21.5453,-77.2644,27.83,66,3,5.62,CU,1730667462
285,tazacorte,28.629,-17.9293,21.54,68,20,0.51,ES,1730667463
286,mao,39.8885,4.2658,20.31,88,75,4.12,ES,1730667464
287,caribou,46.8606,-68.012,3.92,51,0,4.12,US,1730667466
288,jidd hafs,26.2186,50.5478,27.25,79,0,3.6,BH,1730667467
289,trairi,-3.2778,-39.2689,25.25,79,89,6.22,BR,1730667468
290,teni,10.0,77.4833,22.99,87,84,1.09,IN,1730667469
291,selfoss,63.9331,-20.9971,10.58,98,100,8.89,IS,1730667470
292,kingston,17.997,-76.7936,27.53,83,75,6.17,JM,1730667471
293,necochea,-38.5473,-58.7368,18.76,35,97,7.8,AR,1730667472
294,nova vicosa,-17.8919,-39.3719,24.64,79,99,3.72,BR,1730667474
295,vuktyl,63.8567,57.3094,-2.68,92,100,8.12,RU,1730667475
296,nago,26.5881,127.9761,23.58,84,37,2.21,JP,1730667476
297,letlhakane,-21.4167,25.5833,25.48,18,0,5.27,BW,1730667477
298,priozersk,61.0393,30.1291,0.61,87,100,6.02,RU,1730667478
299,coahuayana de hidalgo,18.7,-103.6583,29.61,70,66,2.48,MX,1730667479
300,shiguai,40.7058,110.2856,-1.66,42,0,1.62,CN,1730667481
301,kalaleh,37.3807,55.4916,18.75,48,100,0.23,IR,1730667482
302,ciudad acuna,29.3232,-100.9522,29.32,64,40,7.2,MX,1730667483
303,la ronge,55.1001,-105.2842,3.14,93,100,3.09,CA,1730667484
304,patiali,27.7167,79.0167,22.31,43,0,1.78,IN,1730667485
305,mejit,10.2753,170.8646,26.34,81,100,6.69,MH,1730667486
306,moratuwa,6.773,79.8816,24.83,90,100,3.47,LK,1730667488
307,arcos,-20.2819,-45.5394,19.68,94,100,2.1,BR,1730667489
308,fort bragg,35.139,-79.006,20.75,50,0,4.12,US,1730667333
309,gwangju,35.1547,126.9156,13.72,84,18,0.55,KR,1730667492
310,maisi,43.0395,41.2621,3.03,88,99,1.35,GE,1730667495
311,male,4.1748,73.5089,26.97,89,75,5.14,MV,1730667496
312,pathein,16.7833,94.7333,23.89,87,100,1.93,MM,1730667497
313,quellon,-43.1167,-73.6167,11.35,74,54,6.52,CL,1730667498
314,la'ie,21.6477,-157.9253,28.66,71,18,2.24,US,1730667499
315,cabo san lucas,22.8909,-109.9124,24.86,51,96,11.62,MX,1730667269
316,sinabang,2.4803,96.3801,25.99,82,100,1.71,ID,1730667502
317,uray,60.1247,64.7758,-2.38,89,100,8.81,RU,1730667503
318,manta,-0.95,-80.7333,22.94,73,100,8.34,EC,1730667504
319,ghadamis,30.1337,9.5007,23.79,34,75,4.27,LY,1730667506
320,wailua homesteads,22.0669,-159.378,26.44,81,75,6.17,US,1730667507
321,whitehorse,60.7161,-135.0538,2.28,80,75,8.23,CA,1730667338
322,katsuren-haebaru,26.3369,127.8719,25.01,86,40,0.0,JP,1730667510
323,moyynkum,44.2914,72.9469,13.7,41,100,3.74,KZ,1730667511
324,riverton,40.5219,-111.9391,6.96,61,100,5.36,US,1730667512
325,sakakah,29.9697,40.2064,17.76,39,0,3.32,SA,1730667513
326,scarborough,54.2797,-0.4044,9.88,68,33,2.33,GB,1730667514
327,barranca,-10.75,-77.7667,19.96,76,47,5.11,PE,1730667515
328,delta,5.5,6.0,25.98,89,99,1.57,NG,1730667517
329,ta`u,-14.2336,-169.5144,27.29,82,60,6.6,AS,1730667518
330,novyy urengoy,66.0833,76.6333,-0.42,90,100,9.91,RU,1730667519
331,yanam,16.7333,82.2167,23.47,78,44,1.21,IN,1730667520
332,nar'yan-mar,67.6713,53.087,-2.95,86,100,5.77,RU,1730667521
333,santa ana,33.7456,-117.8678,23.34,46,20,1.54,US,1730667522
334,upper grand lagoon,30.1633,-85.7408,28.01,68,75,6.69,US,1730667523
335,megion,61.0296,76.1136,0.01,71,74,9.58,RU,1730667526
336,inarajan village,13.2736,144.7484,27.11,89,100,3.34,GU,1730667527
337,tabou,4.423,-7.3528,25.66,87,7,2.53,CI,1730667528
338,elkins,38.9259,-79.8467,20.56,53,72,2.52,US,1730667491
339,harsin,34.2721,47.5861,10.7,93,93,3.22,IR,1730667530
340,juan griego,11.0817,-63.9655,34.07,52,75,7.72,VE,1730667532
341,jolo,6.05,121.0167,25.32,90,100,0.45,PH,1730667533
342,ilha de mocambique,-15.0342,40.7358,26.13,86,0,3.16,MZ,1730667534
343,ciudad general teran,25.2667,-99.6833,35.32,32,5,4.56,MX,1730667535
344,merizo village,13.2658,144.6691,26.88,89,100,3.3,GU,1730667536
345,choyr,46.3611,108.3611,-6.67,35,95,2.09,MN,1730667537
